category,headline,url
ENVIRONMENT,"Rain, high water complicate cave search for Thai soccer team",http://www.foxnews.com/world/2018/06/27/rain-high-water-complicate-cave-search-for-thai-soccer-team.html
ENVIRONMENT,Top Thai official says flooding complicates cave rescue,http://www.foxnews.com/world/2018/06/26/top-thai-official-says-flooding-complicates-cave-rescue.html
ENVIRONMENT,Power line put in Thai cave to help search for missing boys,http://www.foxnews.com/world/2018/06/25/power-line-put-in-thai-cave-to-help-search-for-missing-boys.html
ENVIRONMENT,"Walk or die: Algeria abandons 13,000 migrants in the Sahara",http://www.foxnews.com/world/2018/06/25/walk-or-die-algeria-abandons-13000-migrants-in-sahara.html
ENVIRONMENT,African wild dogs make comeback at Mozambican wildlife park,http://www.foxnews.com/world/2018/06/22/african-wild-dogs-make-comeback-at-mozambican-wildlife-park.html
ENVIRONMENT,NATO head: No guarantee trans-Atlantic alliance will survive,http://www.foxnews.com/world/2018/06/21/nato-head-no-guarantee-trans-atlantic-alliance-will-survive.html
ENVIRONMENT,"Thanks to China, over 100 million metric tons of plastic waste will soon have nowhere to go",http://www.foxnews.com/science/2018/06/21/thanks-to-china-over-100-million-metric-tons-plastic-waste-will-soon-have-nowhere-to-go.html
ENVIRONMENT,Hundreds pray at Indonesia lake as search for bodies resumes,http://www.foxnews.com/world/2018/06/21/hundreds-pray-at-indonesia-lake-as-search-for-bodies-resumes.html
ENVIRONMENT,Soccer amid ruins: World Cup inspires unusual fields in Peru,http://www.foxnews.com/world/2018/06/20/soccer-amid-ruins-world-cup-inspires-unusual-fields-in-peru.html
ENVIRONMENT,Giant crackdown against wildlife crime in 92 countries,http://www.foxnews.com/world/2018/06/20/giant-crackdown-against-wildlife-crime-in-92-countries.html
ENVIRONMENT,"Burning kites from Gaza damage Israeli farms, wildlife",http://www.foxnews.com/world/2018/06/20/burning-kites-from-gaza-damage-israeli-farms-wildlife.html
ENVIRONMENT,Police say 3 Polish men drown in southwest Germany,http://www.foxnews.com/world/2018/06/18/police-say-3-polish-men-drown-in-southwest-germany.html
ENVIRONMENT,Israel strikes Hamas targets in bid to deter burning kites,http://www.foxnews.com/world/2018/06/18/israel-strikes-hamas-targets-in-bid-to-deter-burning-kites.html
ENVIRONMENT,Carlotta weakens to tropical depression off Mexico's coast,http://www.foxnews.com/world/2018/06/18/carlotta-weakens-to-tropical-depression-off-mexicos-coast.html
ENVIRONMENT,Guatemala ends search for people buried by volcano eruption,http://www.foxnews.com/world/2018/06/17/guatemala-ends-search-for-people-buried-by-volcano-eruption.html
ENVIRONMENT,Tropical Storm Carlotta nears Mexican coast by Acapulco,http://www.foxnews.com/world/2018/06/17/tropical-storm-carlotta-nears-mexican-coast-by-acapulco.html
ENVIRONMENT,"In South Africa, plans for a refuge for pangolins in peril",http://www.foxnews.com/world/2018/06/16/in-south-africa-plans-for-refuge-for-pangolins-in-peril.html
ENVIRONMENT,Rains from Tropical Storm Carlotta pound Mexico's coast,http://www.foxnews.com/world/2018/06/16/rains-from-tropical-storm-carlotta-pound-mexicos-coast.html
ENVIRONMENT,New Delhi orders construction halt as pollution levels soar,http://www.foxnews.com/world/2018/06/15/new-delhi-orders-construction-halt-as-pollution-levels-soar.html
ENVIRONMENT,Tropical Storm Bud lashes Mexico's Los Cabos with winds,http://www.foxnews.com/world/2018/06/15/tropical-storm-bud-lashes-mexicos-los-cabos-with-winds.html
ENVIRONMENT,How Germany is turning wasteland into vast lakeside resorts,http://www.foxnews.com/world/2018/06/14/how-germany-is-turning-wasteland-into-vast-lakeside-resorts.html
ENVIRONMENT,Tropical Storm Bud heads for resorts at Baja's southern end,http://www.foxnews.com/world/2018/06/14/tropical-storm-bud-heads-for-resorts-at-bajas-southern-end.html
NEVADA,"Nevada wildfire caused by campers igniting excrement, sheriff says",http://www.foxnews.com/us/2018/06/13/nevada-wildfire-caused-by-campers-igniting-excrement-sheriff-says.html
ENVIRONMENT,AP PHOTOS: Traces of life trapped beneath volcano's ash,http://www.foxnews.com/world/2018/06/13/ap-photos-traces-life-trapped-beneath-volcanos-ash.html
ENVIRONMENT,Guatemala resumes search for victims of volcano eruption,http://www.foxnews.com/world/2018/06/13/guatemala-resumes-search-for-victims-volcano-eruption.html
ENVIRONMENT,"2 convicted in Germany for giant swastika on roof, fined",http://www.foxnews.com/world/2018/06/13/2-convicted-in-germany-for-giant-swastika-on-roof-fined.html
ENVIRONMENT,Hurricane Bud weakens to Category 1 on path to Baja resorts,http://www.foxnews.com/world/2018/06/13/hurricane-bud-weakens-to-category-1-on-path-to-baja-resorts.html
ENVIRONMENT,World Cup has divisive legacy for Russia's environment,http://www.foxnews.com/world/2018/06/12/world-cup-has-divisive-legacy-for-russias-environment.html
ENVIRONMENT,Hurricane Bud expected to weaken as it heads for Baja,http://www.foxnews.com/world/2018/06/12/hurricane-bud-expected-to-weaken-as-it-heads-for-baja.html
ENVIRONMENT,The Latest: Category 3 Hurricane Bud heads north off Mexico,http://www.foxnews.com/world/2018/06/11/latest-category-3-hurricane-bud-heads-north-off-mexico.html
